à…ìﬂ,0.1,1.1,3.8,10.3,17.2,19.1,24.9,24.6,19.2,13.6,6.6,1.1,35.8267,137.955,15
èºñ{ç°à‰,-1.1,-0.1,2.6,9.9,16.7,18.2,24.3,24.1,18.5,12.7,6.4,0.6,36.1667,137.9217,1
å‰ìaèÍ,3,3.8,5,11.4,16.7,18.8,24.1,24.2,20.1,14.9,10,3.6,35.305,138.9267,17
ïxém,6.2,7.2,8.6,14.4,19.4,21.8,26.7,27.1,23.4,18.2,12.8,7,35.185,138.6633,0
ñ‘ë„,7.5,7.8,8.7,14.6,19.4,21,26.6,26,22.7,17.9,13.8,8.2,35.045,139.0917,0
éOìá,6.2,7.1,8.5,14.7,19.8,22.1,27.3,27.5,23.4,18.1,13.1,6.7,35.1133,138.925,0
àÓéÊ,7.5,8.1,8.8,14.6,19.1,21,26.2,26.2,23.1,18.2,14.1,8.4,34.7817,139.0483,0
èºçË,7.3,7.9,9,14.8,19.2,21.3,26.7,27.3,23.6,18.9,13.8,8.1,34.755,138.7833,0
êŒòLçË,8.5,8.9,9.7,14.5,18.8,20.7,25.5,26.2,23.7,19.2,15,9.5,34.6033,138.8417,0
å‰ëOçË,6.8,7.3,9.4,14.7,19,21,26.1,27.1,24.2,19.6,13.9,7.7,34.6033,138.2117,0
î÷ìc,6,6.7,8.9,14.5,19.3,21.3,26.8,27.4,23.7,18.6,12.8,6.7,34.6917,137.88,0
ïlèº,6.2,6.8,9.3,15,20,21.9,27.6,28.1,24.1,19.1,13.3,7.1,34.7083,137.7183,14
ìVó≥,5.7,6.3,8.4,13.8,18.9,21.2,26.6,27,23.1,18.3,11.9,6.3,34.89,137.8133,7
ç≤ãvä‘,2.5,3.4,6,12.3,18.2,20.3,26,26.2,21.3,16.5,9,3.2,35.0567,137.7617,16
êÏç™ñ{í¨,2.8,3.9,5.8,12.2,18.1,19.9,25.7,25.4,21,16.7,9.1,3,35.1017,138.1283,3
ê√â™,7.2,7.8,9.3,15.2,20,22,27.5,27.8,24.1,19.1,13.9,7.7,34.975,138.4033,14
ê¥êÖ,7.2,7.9,9.2,14.9,19.6,21.8,27,27.5,23.9,18.9,13.7,7.7,35.0533,138.5217,0
ê√â™ãÛç`,5.9,6.7,8.4,14.2,19,20.9,26.5,26.8,22.9,18.1,12.7,6.4,34.795,138.1883,0
ãeêÏñqîVå¥,4.7,5.4,7.5,13.4,18.2,20.2,25.7,26.1,22.3,17.4,11.5,5.3,34.785,138.1383,8
ãõí√,2.8,3,5.8,12.4,17.7,18.7,25.8,25.6,20.8,15.7,9.3,3.8,36.8217,137.4283,3
è„és,0.3,0.5,3.2,10.8,16.4,17.5,24.4,24.1,19.2,14,7.3,1.5,36.67,137.4233,15
ïxéR,3.3,3.6,6.6,13.4,18.7,19.8,26.8,26.7,22,16.6,10.1,4.4,36.7083,137.2017,16
èHÉñìá,2.8,3.2,6.3,13.3,18.8,19.9,26.6,26.5,21.7,16.3,9.9,4.2,36.6483,137.1867,16
î™îˆ,2.3,2.3,5.4,12.4,17.8,19.1,25.7,25,20.3,15.1,9,3.1,36.5783,137.1317,3
ìÏìvçÇã{,2.3,2.2,5.4,12.3,18.1,19.3,26.1,25.7,20.7,15.6,9.1,3.5,36.545,136.8717,3
ìvîg,2.3,2.5,5.6,12.4,18,19.2,25.9,25.8,21,15.7,9.3,3.7,36.61,136.955,3
ïXå©,2.4,2.7,5.3,11.4,17,18.3,25.6,25.7,20.8,15.9,8.7,3.7,36.8633,136.96,3
ïöñÿ,3,3.2,6.3,12.6,18,19.2,26.4,26.7,21.9,16.8,9.8,4.3,36.7917,137.055,16
âÕçá,-1.3,-1.5,1.7,7.6,15.3,17.1,23.6,23.6,17.6,13.2,5.2,-0.1,36.305,137.1,1
îíêÏ,-1.1,-1.3,1.7,8.3,15.4,17.2,23.5,23.5,17.8,13.2,5.5,0.1,36.2733,136.8967,1
ê_â™,-1,-1.1,2.7,9.3,16.2,17.7,24.2,24.1,18.3,13.4,6,0.6,36.3217,137.3083,1
ì»îˆ,-2.5,-2.2,1.1,7.5,14.6,16,22.2,22.3,16.7,11.8,4.3,-0.7,36.2483,137.5033,12
çÇéR,-1.2,-1.1,2.8,9.5,16.5,18.3,24.7,24.7,18.7,13.4,5.8,0.5,36.155,137.2533,1
ã{îVëO,-3.8,-3.7,-0.3,6.2,13.4,15.1,21.7,21.5,15.8,11,3.1,-2.3,36.015,137.3883,13
îãå¥,0.5,1,4.5,10.4,17.1,19.2,24.8,24.7,19.5,14.7,7.2,1.6,35.8883,137.2067,15
ã{ín,0,1,4.3,10.3,16.6,19,24.6,24.7,19.5,14.5,6.7,1.1,35.7633,137.2883,15
çïêÏ,0,0.7,3.3,9.9,16,18.1,23.8,23.9,19,14.2,6.8,1,35.5983,137.3183,15
íÜí√êÏ,1.3,1.9,4.9,11.6,17.9,20.1,25.6,25.5,20.8,15.6,7.8,2.1,35.4767,137.4867,3
åbìﬂ,1.3,2,5,11.7,17.8,19.9,25.5,25.5,20.6,15.5,7.8,2.1,35.4467,137.4033,3
ëΩé°å©,3.3,4,7.1,13.8,19.4,21.6,27.4,27.3,22.6,17.3,10.1,4.1,35.3467,137.1083,16
ëÂä_,4.5,4.7,8,14.2,20,21.9,27.8,27.7,23.1,17.8,11.1,5.5,35.3467,136.62,7
äÚïå,4.5,5,8.3,14.7,20.6,22.4,28.1,28.1,23.6,18.1,11.4,5.6,35.4,136.7617,7
î¸îZâ¡ñŒ,3.2,3.8,7.1,13.7,19.6,21.8,27.3,27.3,22.5,17.2,9.9,4.1,35.445,137.005,16
î¸îZ,3,3.6,6.7,13.2,19,21.1,26.5,26.6,21.9,16.9,9.8,4,35.5567,136.91,16
ä÷ÉPå¥,3,3.1,6.5,12.7,18.7,20.5,26.6,26.5,21.7,16.4,9.7,4.1,35.3633,136.4667,16
óKî„êÏ,3.8,4.2,7.4,13.8,19.9,22,27.4,27.4,22.6,17.5,10.4,4.9,35.485,136.5667,8
íMå©,1.2,1.4,4.8,11.3,17,19.1,24.6,24.6,19.6,15,7.8,2,35.6383,136.6033,15
í∑ëÍ,-0.2,0,3,9.6,16,17.9,23.7,23.6,18.4,14,6.2,0.6,35.925,136.8317,1
î™î¶,0.5,1.2,4.5,11,17.2,19.5,25.4,25.1,19.8,15,7.2,1.5,35.7567,136.9783,15
òZâX,-4.9,-4.7,-1.3,4.8,12.2,14.1,20.9,20.9,14.7,10.5,2.3,-3.7,36.06,137.0333,13
à§êº,4.2,4.6,7.9,14,19.9,21.8,27.5,27.6,22.8,17.3,10.7,5.2,35.2167,136.6983,8
ñºå√âÆ,4.8,5.2,8.4,14.7,20.5,22.4,28.1,28.1,23.6,17.9,11.5,5.7,35.1667,136.965,7
ÉZÉìÉgÉåÉA,6.3,6.1,8.8,14.2,19.5,21.4,27.3,27.9,23.5,18.4,13.1,7.6,34.8583,136.805,0
àÓïê,0.3,0.9,3.6,10.2,16.2,18,24.1,24.1,19.2,14.7,6.6,1.1,35.2117,137.5067,15
êVèÈ,4.3,5.1,7.4,13.4,18.6,20.7,26.5,26.7,22.3,17.4,10.9,4.8,34.9067,137.5167,8
ñLã¥,5.3,5.8,8.5,14.4,19.5,21.3,27.1,27.5,23.7,18.4,12,6.3,34.75,137.3417,7
à…ó«åŒ,6,6.2,8.8,14.6,19.7,21.5,27.5,28.1,23.9,18.7,12.6,7.3,34.6283,137.0933,7
äóåS,5.3,5.7,8.3,14.4,19.6,21.3,27.2,27.6,23.3,18.1,12.1,6.5,34.845,137.2167,7
â™çË,3.9,4.6,7.4,13.8,19.3,21.4,27.4,27.5,22.8,17.5,10.5,4.6,34.9183,137.1933,8
ìÏímëΩ,5.5,5.8,8.5,14.2,19.4,21.3,27.3,27.8,23.5,18.2,12.1,6.7,34.74,136.9383,7
éÏèF,3.3,3.4,5.3,11.2,16.7,18,25.4,25.5,20.8,15.9,9,3.9,37.4467,137.2867,17
ó÷ìá,3.8,3.6,6,11.8,17.4,18.4,26,25.9,21.2,16.2,9.6,4.4,37.3917,136.895,17
éOà‰,1.6,1.2,3.9,10.1,15.9,16.8,24.2,24.3,19.2,14.4,7.7,2.3,37.2933,136.9617,15
éuâÍ,4,3.7,5.8,11.6,17.2,18.9,25.9,26.6,21.5,16.2,10.3,5.2,37.1433,136.725,16
éµîˆ,2.9,3,5.3,11.7,17.2,18.5,25.7,25.7,20.9,15.8,9.3,4,37.03,136.9917,17
âHçÓ,3.9,3.8,6.3,12.4,17.8,19.3,26.2,26.7,21.9,16.5,10.2,5.1,36.8933,136.7767,16
Ç©ÇŸÇ≠,3.7,3.5,6.1,12.5,17.6,19.2,26.1,26.5,21.5,16.4,10.1,4.8,36.7117,136.6917,16
ã‡ëÚ,4.5,4.4,7.2,13.6,18.9,20.3,27.2,27.3,22.4,17.1,10.9,5.6,36.5883,136.6333,8
è¨èº,4.1,4.2,6.4,13.4,18.3,19.8,26.8,26.7,21.5,16.4,10.2,5.2,36.3817,136.435,16
éOçë,4.2,4,6.4,13.1,18,19.4,26.6,26.4,21.4,16.7,10.4,5,36.2433,136.1733,16
ètç],3.6,3.5,6.2,13.4,18.7,20.2,27.1,26.7,21.5,16.6,10.1,4.6,36.1417,136.2233,16
ïüà‰,3.7,3.6,6.7,13.7,19.1,20.7,27.5,27.3,21.9,16.8,10.1,4.6,36.055,136.2217,16
âzîU,5.8,5.5,7.8,14.3,18.9,20.2,27.3,26.9,22.3,17.6,12.4,6.9,36.0117,135.99,7
èüéR,1.5,1.2,4.5,12,17.8,19.5,25.9,25.7,20.4,15.6,8.3,2.2,36.0383,136.5217,3
ç°èØ,1.9,1.8,4.6,12,16.8,19,25.5,25,19.9,15.1,8.5,2.5,35.7667,136.2,3
ì÷âÍ,4.8,4.7,7.5,14.4,19.3,21.1,27.7,27.6,22.8,17.7,11.7,5.7,35.6533,136.0617,8
î¸ïl,4.5,4.2,6.7,13.6,18.5,20.4,27.3,27.1,22.4,17.3,11,5.4,35.6,135.9167,8
è¨ïl,4,3.7,6.7,13.7,18.6,20.4,27.3,26.8,21.9,17,10.6,5,35.4833,135.7817,16
ïƒå¥,2,2.2,5.4,12.1,17.8,19.4,25.8,25.5,20.6,15.6,8.9,3.1,35.3833,136.3433,3
í∑ïl,2.7,2.8,6.1,12.8,18.7,20.5,26.8,26.7,21.5,16.4,9.5,3.9,35.4233,136.2417,16
ç°í√,3,2.5,5.9,12.3,18.3,20.3,26.7,26.6,21.7,16.6,9.3,3.8,35.4117,136.0283,16
ïFç™,3.9,3.8,7,13.1,19,21,27.4,27.6,22.7,17.2,10.4,5,35.275,136.2433,8
ìåãﬂç],2.9,3.1,6.3,12.9,18.8,20.6,26.8,26.8,21.7,16.5,9.5,4,35.0617,136.19,16
ìyéR,2.3,2.5,5.6,12.1,17.9,19.5,25.8,25.7,20.8,15.8,9.2,3.4,34.9383,136.2783,3
êMäy,1.5,2,4.4,10.9,16.6,18.6,25,24.8,19.7,15.1,7.5,1.9,34.9133,136.08,15
ìÏè¨èº,3.6,3.4,6.6,12.6,18.5,20.5,26.7,27,22.2,17.1,10.1,4.8,35.235,135.9567,16
åKñº,4.5,4.9,8.2,14.2,19.9,21.8,27.6,27.9,23.2,17.5,11.2,5.6,35.05,136.6933,7
élì˙és,4.1,4.5,7.7,13.6,19,21,26.7,26.9,22.4,17.1,10.6,5.2,34.94,136.58,8
ãTéR,4.4,4.5,7.6,13.5,19.1,21,26.9,26.8,22.2,17.1,10.7,5.3,34.87,136.4533,8
è„ñÏ,3.6,3.9,6.6,13.1,19,20.8,27.1,27,21.9,16.6,9.7,4,34.7617,136.1417,16
í√,5.7,5.5,8.6,14.3,20,22.1,28,28.2,23.6,18.1,12,6.6,34.7333,136.5183,7
è¨ñì,5,5,8,13.9,19.5,21.5,27.4,27.5,22.9,17.6,10.9,5.6,34.5283,136.665,8
íπâH,5.2,5.3,7.9,13.8,18.7,20.8,26.9,27,22.6,17.6,11.2,6,34.4817,136.825,8
ìÏà…ê®,5.8,6.3,8.5,14.1,18.7,20.9,26.5,27.2,23.3,18.2,11.8,6.8,34.345,136.6817,7
ãIà…í∑ìá,6.3,6.7,8.9,14.3,18.9,21.1,26.2,26.9,23.2,18.3,12.1,6.9,34.2083,136.3267,0
îˆòh,6.6,7.3,9.2,14.8,19.3,21.4,26.4,27.2,23.4,18.5,12.8,7.2,34.07,136.1933,0
åFñÏêVé≠,7.1,7.5,9.4,15.4,19.7,21.6,26.6,27.6,23.7,19.3,13.3,7.7,33.9317,136.1383,0
äüå©,4.3,4.5,7.2,13.2,18.7,20.9,26.3,26.5,21.8,16.8,10.1,4.6,34.4483,136.39,16
êj,1.3,1.5,3.9,10.8,16.5,18.2,24.6,24.5,19.2,14.3,7.6,1.7,34.605,135.9533,15
å‹ûä,3.5,3.8,6.4,13.1,18.5,20.4,26.2,26.6,21.4,16.2,9.4,4,34.38,135.73,16
è„ñkéR,2.6,3.1,5.7,11.9,17.8,19.5,24.7,25.2,20.2,15.8,8.5,2.9,34.1367,136.005,3
ïóâÆ,3,3.5,6.1,12.3,18.3,20,25.1,25.7,20.8,16.3,9.3,3.6,34.045,135.7867,16
ëÂâFë…,2,2.2,4.8,11.7,17.3,19.1,25.3,25.2,19.9,14.9,8.1,2.5,34.4883,135.9317,3
Ç©Ç¬ÇÁÇ¨,4,4.3,6.8,13.4,18.6,20.4,26.3,26.8,21.6,16.3,9.9,4.4,34.31,135.5283,16
çÇñÏéR,-0.3,0.2,2.6,9.7,15.3,16.9,22.9,23.3,18.2,13.3,6.4,0.1,34.2217,135.59,1
óFÉPìá,7,6.8,8.8,14.5,18.9,20.8,26.4,27.7,23.6,18.4,13.3,7.8,34.28,135,0
òaâÃéR,6.5,6.9,9.1,15.7,20.5,22.6,28.4,29.1,24.2,18.6,12.8,7.1,34.2283,135.1633,14
ó¥ê_,2.2,2.8,5.2,11.8,17,19.2,24.3,25.4,20.2,16.3,8.7,2.7,33.945,135.5567,3
êÏï”,6.2,6.5,8.3,14.8,19.2,21.1,26.5,27.7,22.9,18.1,12.2,6.6,33.8933,135.2167,7
åIê≤êÏ,4,4.9,6.9,13.4,18,20.2,25.8,26.8,21.8,17.7,10.2,4.3,33.7917,135.5133,16
êVã{,7.8,8.4,10.2,16.3,20.3,22.2,27.3,28.2,24.6,19.9,14.1,8.3,33.6867,135.97,14
êºêÏ,4,5.1,7.1,13.3,18.3,20.3,25.7,26.4,21.7,17.7,10.2,4.1,33.6383,135.71,16
ìÏãIîíïl,7.2,7.6,9.4,15.6,19.7,21.5,26.9,28.1,24.1,19.2,13.4,7.5,33.6617,135.3633,14
í™ñ¶,8.3,8.8,10.3,16.1,19.9,21.6,26.6,27.6,24.4,19.8,14.3,8.5,33.45,135.7567,11
î\ê®,2.1,2.8,5.4,12.4,18,19.9,25.7,26,21,15.8,8.4,2.7,34.9483,135.455,3
ñLíÜ,5,5.3,8.4,15,20.7,22.5,28.6,29.1,23.9,18.2,11.6,6,34.7833,135.4383,7
ñáï˚,4.8,5.1,8.2,14.7,20.4,22.3,28.3,28.4,23.3,17.7,11.2,5.6,34.8083,135.6717,7
ê∂ãÓéR,1.1,1.2,3.9,11,16.2,17.7,23.7,23.6,18.9,13.6,7.9,1.6,34.675,135.6767,15
ëÂç„,6.2,6.3,9.2,15.7,21.1,22.7,28.8,29.2,24.4,18.4,12.6,7,34.6817,135.5183,14
ç‰,6,6.1,9,15.3,20.3,22.3,28.5,29.2,24.2,18.1,12,6.7,34.555,135.485,7
ä÷ãÛìá,7,6.8,9.1,15,19.9,21.9,27.7,28.6,24.3,18.8,13.5,7.9,34.4333,135.2317,14
åFéÊ,5.5,5.7,8,14.8,19.6,21.5,27.6,28,23,17.5,11.8,6.3,34.385,135.35,7
ä‘êl,5.7,5.4,7.7,14.1,18.5,20,26.7,26.7,22.3,17.7,11.9,6,35.7367,135.0867,8
ïëíﬂ,3.6,3.8,6.6,13.6,18.6,20.6,27.1,26.9,21.8,17,10.1,4.4,35.45,135.3167,16
ã{í√,4.3,4.2,6.6,13.6,18.1,20,26.8,26.7,21.7,17.1,10.5,5,35.55,135.235,16
î¸éR,1.4,1.6,4.4,11.3,16.7,18.7,25,24.9,19.8,15,7.8,2.3,35.275,135.55,15
âÄïî,1.9,2.8,5.3,12.5,18.4,20.4,26.3,26.4,21,15.9,8,2.8,35.1083,135.455,3
ïüíméR,3,3.7,6.4,13.7,18.8,20.8,27.3,27.1,21.7,16.7,9.3,3.8,35.3117,135.1133,16
ãûìs,4.8,5.1,8.2,14.8,20.9,22.5,28.4,28.7,23.7,18,11.2,5.6,35.015,135.7317,7
ãûìcï”,4.1,4.5,7.3,13.9,19.6,21.7,27.8,27.5,22.3,17.1,10.2,4.8,34.83,135.76,8
çÅèZ,4.7,4.4,6.7,13.6,18,19.5,26.3,26,21.4,16.8,10.6,4.9,35.625,134.6267,16
ñLâ™,3.5,3.4,6.4,13.8,18.6,20.6,27.4,27,21.5,16.8,9.8,4.3,35.535,134.8217,16
òaìcéR,2.2,2.8,5.7,13,18.3,20.1,26.5,26.1,20.6,15.8,8.9,3.1,35.3233,134.8483,3
ìeòañÏçÇå¥,0.9,0.8,3.1,10.8,16.3,17.5,24,23.4,18.4,13.8,7.8,1.4,35.4317,134.5833,15
ê∂ñÏ,1.6,2.1,5,12.3,17.8,19.6,26.1,25.8,20.4,15.3,8.7,2.7,35.1667,134.7917,3
îêå¥,2.7,3.5,6.1,13.6,18.9,20.6,26.9,26.7,21.5,16.4,9.4,3.8,35.1483,135.0467,16
êºòe,2.8,3.6,6.3,13.3,18.4,20.6,26.9,26.9,21.7,16.5,9.1,3.6,34.9983,134.9967,16
àÍã{,2.2,2.8,5.7,12.7,17.8,20,25.7,25.8,20.6,16,8.5,3.1,35.0967,134.585,3
ïüçË,3.5,4.1,7,13.8,19,21.3,27.1,27.6,22.5,17.2,9.8,4.2,34.95,134.7483,16
ïPòH,4.4,4.9,7.6,14.3,19.3,21.5,27.5,28.2,22.9,17.4,10.5,5.1,34.8383,134.67,8
è„åS,3.3,4,6.6,13.5,18.4,20.9,26.9,27.1,21.4,16.4,9.1,3.7,34.8583,134.3733,16
ñæêŒ,5.4,5.6,7.9,13.9,18.8,21.3,27,28.2,23.5,17.9,11.8,6.4,34.6867,134.8767,7
éOñÿ,4,4.4,7.1,14.1,19.3,21.2,27.3,27.7,22.6,17.2,10.9,5.2,34.7767,135.0133,8
ê_åÀ,6.3,6.4,9.2,15.6,20.7,22.5,28.2,29.1,24.5,18.9,12.9,7.2,34.6967,135.2117,14
éOìc,2.3,3.2,5.7,12.8,18.3,20.4,26.6,26.6,21.3,16.1,8.8,3.1,34.895,135.2117,16
åSâ∆,5.9,5.9,7.8,14.4,19.1,21.5,27.7,28.3,23.2,17.9,12,6.7,34.4667,134.8483,7
ê_åÀãÛç`,6,5.9,8.7,14.5,19.3,21.4,26.9,28.3,24.1,18.6,12.6,7,34.6317,135.2233,7
ã´,5.3,5.4,7.7,14.6,19.5,21,27.8,27.6,22.4,18,11.6,5.8,35.5433,133.235,7
ïƒéq,4.6,5.2,7.6,14.6,19.6,20.9,28,27.6,22.2,17.6,11.5,5.5,35.4333,133.3383,8
ëqãg,4.5,4.7,7.1,13.9,18.5,20.1,26.7,26.2,21.1,16.7,11,5.1,35.4733,133.8383,8
âñí√,5.5,5.6,7.5,14,18.3,20.2,26.9,26.7,21.9,17.4,11.9,6.3,35.5233,133.5667,8
ê¬íJ,4.8,4.9,7,13.3,17.7,19.7,26.5,26.3,21.3,17,11,5.3,35.52,133.9967,8
åŒéR,5,5,7.3,14,18.5,20.2,27,26.8,21.9,17.4,11.5,5.4,35.53,134.165,8
íπéÊ,4.5,4.6,7.2,14.5,19.2,21.1,27.8,27.3,22,17.4,11.2,5,35.4867,134.2383,8
ä‚à‰,4,3.6,6.1,13,17.5,19.5,26.2,25.8,20.8,16.5,10.3,4.2,35.5583,134.36,16
íqì™,1.7,1.5,4.7,12.4,17.1,19.2,25.7,25.4,19.8,15.4,8.1,2.5,35.2633,134.24,3
íÉâÆ,0,0.3,2.7,11,16,17.5,24.3,23.8,17.8,13.6,6.6,0.5,35.1867,133.23,1
è„í∑ìc,0.4,0.8,2.7,10.7,15.2,17,24.1,23.6,18,13.9,6.9,1,35.2967,133.725,15
êÁâÆ,0.1,0.3,2.7,10.5,15.4,17,23.6,23.3,17.6,13.3,6.2,0.6,35.1033,133.435,1
ãvê¢,2.2,2.7,5.5,12.7,18.2,20,26.2,26.2,20.3,15.6,8.1,2.9,35.0683,133.7533,3
í√éR,2.3,3.1,6.1,13.2,18.4,20.5,26.3,26.6,20.8,16,8.3,3.2,35.0633,134.0083,3
ç°â™,1.3,1.9,5,12.2,17.5,19.6,25.4,25.5,20,15.2,7.8,2.2,35.0983,134.325,3
êVå©,1.2,1.7,4.5,12,17,18.7,25,24.8,19,14.3,7.2,1.6,34.9433,133.5183,15
ïüìn,2.6,3,5.8,12.7,17.8,20.1,26.3,26.3,20.5,15.8,8.2,3,34.8667,133.9033,3
ì˙âûéõ,3.1,3.5,6.5,13.4,18.4,20.4,26.1,26.4,21,16,9.2,3.6,34.7567,133.855,16
òaãC,3.1,3.7,6.3,13.2,18.2,20.5,26.9,27,21.3,16.3,8.7,3.5,34.815,134.1833,16
íéñæ,4.5,4.6,7,13.7,18.7,21.1,27.4,28,22.5,17.4,10.5,5,34.6817,134.2067,8
â™éR,4.8,5.2,8.1,14.9,20.1,22.2,28.1,28.7,23,17.5,10.4,5.1,34.66,133.9167,7
ã ñÏ,5.9,6,8.3,14.5,19.6,21.9,27.2,28.8,23.8,18.2,11.6,6.2,34.4867,133.95,7
ëqï~,4.7,5.1,7.8,14.6,19.9,22,27.9,28.2,22.6,17.3,10.4,5,34.59,133.7683,8
ä}â™,5,5.2,7.9,14.5,19.5,21.8,27.9,28.6,22.9,17.7,10.9,5.2,34.5017,133.495,7
çÇó¿,3.1,3.5,6.5,13.5,19,20.9,27,27.1,21.1,16.2,8.8,3.2,34.7917,133.61,16
êºãΩ,5,5,6.7,13.4,18.1,19.4,26.1,26.1,21.6,17.1,11.6,5.3,36.2033,133.3333,8
äCém,5.9,5.9,7.1,14,18.7,20,26.7,26.5,21.8,17.4,12.2,6.5,36.0967,133.0967,8
é≠ìá,5.1,5.3,7,13.9,18.5,20.2,26.8,26.6,21.3,17,11,5.5,35.52,133.0217,8
èºç],4.8,5.1,7.5,14.6,19.4,20.9,27.6,27.4,22.1,17.5,11.1,5.5,35.4567,133.065,8
î„êÏ,4.8,5.3,7.2,14.2,18.9,20.6,27.3,27,21.5,17.1,10.9,5.3,35.4133,132.89,8
èoâ_,5.1,5.4,7,14,18.2,20.1,26.9,26.6,21.1,16.6,11,5.7,35.3317,132.73,8
â°ìc,0.8,1,3.7,11.8,16.8,18.4,25.1,24.7,18.8,14.4,7.4,1.3,35.1733,133.1033,15
ä|çá,2.7,3.1,5.3,13.3,18.1,19.3,26.5,25.7,19.8,15.3,9,3.6,35.1983,132.8167,3
ëÂìc,5.5,5.7,7.6,14.5,18.9,20.4,27.4,27.1,21.6,17.2,11.6,5.9,35.19,132.4967,8
ê‘ñº,0.5,0.8,3.3,11.2,16.1,17.8,24.4,23.9,18.1,13.5,7,1,35.0017,132.7117,15
êÏñ{,3.2,3.6,5.7,13.4,17.9,19.6,26.3,25.9,20.2,15.7,9.2,3.7,34.9767,132.4917,16
êêï‰,0.8,1.3,3.9,11.6,16.6,18.2,24.9,24.5,18.5,13.9,6.9,1.5,34.8533,132.53,15
ïlìc,6.5,7,8.3,14.9,19.1,20.6,27.4,27.3,21.9,17.4,12.7,7.1,34.8967,132.07,0
ñÌâh,1.4,2.2,4,11.9,16.4,18,24.7,24.2,18.7,14.2,7.8,2,34.7767,132.1083,15
âvìc,6,6.7,8.2,15.1,19.6,21.3,28.4,27.9,22.4,17.9,12.4,6.5,34.6767,131.8433,7
çÇí√,5.7,6.1,7.7,14.3,18.5,20.1,27,26.6,21.5,17.2,11.8,6,34.675,131.79,8
í√òañÏ,3.1,4.2,6.1,14,19.1,20.8,27.2,26.6,21,16.2,9.5,3.4,34.4617,131.77,16
ãgâÍ,2.3,3.1,5.2,12.8,17.4,19.3,25.7,25.2,19.6,15.4,8.5,2.4,34.3917,131.8933,3
çÇñÏ,-0.1,0.1,2.3,10.3,15.4,17.1,23.9,23.4,17.5,13.2,6,0,35.0333,132.9017,1
èØå¥,1.1,1.6,4.8,12.2,17.4,19.2,25.6,25.3,19.3,14.7,7.2,1.6,34.86,133.0233,3
éOéü,1.8,2.5,5.4,12.7,18,20,26.5,26.1,20.1,15.5,8.1,2.4,34.8117,132.85,3
ñ˚ñÿ,0,0.7,3,10.4,15.4,17.2,23.8,23.6,17.6,12.9,5.7,0,34.7633,133.2783,1
ïüéR,4.7,5.1,7.8,14.3,19.4,21.6,27.6,28.3,22.6,17.5,10.6,5.1,34.4467,133.2467,8
ê¢óÖ,1,2,4.4,11.8,17.1,19,25.2,25.3,19.3,14.5,7.1,1.5,34.5833,133.05,15
ñ{ãΩ,3.3,3.7,6.4,13.3,18,20,25.6,26,20.9,15.8,9.5,3.4,34.435,132.9183,16
í|å¥,5.9,5.9,8.1,13.5,17.7,20,25,27.1,22.6,17.6,11.5,6.3,34.33,132.9817,8
ê∂å˚ìá,6.4,6.3,8.3,14.3,18.9,21.1,26.6,28.4,23.4,18.1,12,6.8,34.2783,133.1233,7
å‡ésäóä†,6.9,7,9.1,14.6,18.7,21.2,26.2,27.4,23.2,18.3,13,7.4,34.165,132.7483,0
å‡,6.2,6.6,9,15.2,19.9,22,27.6,28.3,23.4,18.7,12.5,6.7,34.24,132.55,7
ëÂí|,5.5,6.1,8.6,15.3,20.2,22.3,28.1,28.7,23.4,18.5,12,5.7,34.2217,132.22,7
ì˘ì˙ésí√ìc,1.3,2.4,4.9,12.4,17.3,19.5,25.8,25.7,19.9,15.3,8,1.7,34.365,132.19,3
çLìá,5.5,6.1,8.8,15.6,20.6,22.5,28.4,29,23.4,18.4,11.9,5.8,34.3983,132.4617,7
éOì¸,3.1,3.9,6.8,13.8,18.8,20.8,26.9,27,21.3,16.6,9.6,3.5,34.545,132.53,16
â¡åv,2,2.6,5.4,12.8,18.1,19.9,26.1,25.8,19.8,15.4,8.6,2.1,34.61,132.32,3
ëÂí©,0.7,1,3.8,11.5,16.5,18.2,24.8,24.4,18.4,14,7,1.3,34.7683,132.4633,15
ê{ç≤,5.2,5.9,7,13.9,18.1,20,26.9,26.3,21,16.6,11.2,5.6,34.615,131.6233,8
îã,6.2,6.9,8.3,14.7,19.4,21.2,28,27.5,22.4,17.9,12.5,6.5,34.41,131.405,7
ñ˚íJ,6.2,6.8,8.5,15,19.4,21.1,27.9,27.6,22.5,18.1,12.5,6.2,34.37,131.055,7
ñLìc,3.7,4.6,6.8,13.4,18.3,20.4,26.8,26.4,21.1,16.8,9.8,3.8,35.1317,137.1767,16
èHãgë‰,3.4,4.3,6.8,13.4,17.9,19.7,25.6,25.7,20.5,16.1,9.6,3.4,34.235,131.3067,16
ñhï{,5.2,6,8.4,15,19.7,22.1,27.9,28.3,22.8,18.4,11.7,5.4,34.04,131.5333,7
âFïî,6,6.7,8.7,14.4,19.2,21.6,27.3,28.2,23.3,18.7,12.7,6.5,33.93,131.2783,7
â∫èº,5.6,6.2,8.4,15.1,19.5,21.9,27.6,28.2,22.7,18.2,12,5.8,34.0217,131.8733,7
ãËâœ,3.5,4.3,7,14,18.7,21.1,27,27.3,21.6,17.2,9.9,3.5,34.095,132.075,16
ä‚çë,4.6,5.2,7.5,14.5,19.4,21.3,27.5,27.7,22.1,17.4,10.8,4.7,34.155,132.1783,8
